"Abrangência";"Partido";"Sexo";"Faixa Etária";"Eleitores";"%";
"Brasil";"PATRI";"MASCULINO";"21 a 24 anos";"3.256";"0,019"
"Brasil";"PATRI";"MASCULINO";"25 a 34 anos";"10.547";"0,063"
"Brasil";"PATRI";"MASCULINO";"35 a 44 anos";"12.882";"0,077"
"Brasil";"PATRI";"MASCULINO";"45 a 59 anos";"14.742";"0,088"
"Brasil";"PATRI";"MASCULINO";"60 a 69 anos";"4.346";"0,026"
"Brasil";"PATRI";"MASCULINO";"70 a 79 anos";"1.212";"0,007"
"Brasil";"PATRI";"MASCULINO";"Inválida";"2";"0,000"
"Brasil";"PATRI";"MASCULINO";"Superior a 79 anos";"243";"0,001"
"Brasil";"PATRI";"NÃO INFORMADO";"45 a 59 anos";"14";"0,000"
"Brasil";"PATRI";"NÃO INFORMADO";"60 a 69 anos";"6";"0,000"
"Brasil";"PATRI";"NÃO INFORMADO";"70 a 79 anos";"3";"0,000"
"Brasil";"PATRI";"NÃO INFORMADO";"Superior a 79 anos";"1";"0,000"
"Brasil";"PC DO B";"FEMININO";"17 anos";"22";"0,000"
"Brasil";"PC DO B";"FEMININO";"18 a 20 anos";"879";"0,005"
"Brasil";"PC DO B";"FEMININO";"21 a 24 anos";"4.134";"0,025"
"Brasil";"PC DO B";"FEMININO";"25 a 34 anos";"29.836";"0,178"
"Brasil";"PC DO B";"FEMININO";"35 a 44 anos";"40.906";"0,243"
"Brasil";"PC DO B";"FEMININO";"45 a 59 anos";"61.051";"0,363"
"Brasil";"PC DO B";"FEMININO";"60 a 69 anos";"24.758";"0,147"
"Brasil";"PC DO B";"FEMININO";"70 a 79 anos";"10.849";"0,065"
"Brasil";"PC DO B";"FEMININO";"Inválida";"3";"0,000"
"Brasil";"PC DO B";"FEMININO";"Superior a 79 anos";"5.268";"0,031"
"Brasil";"PC DO B";"MASCULINO";"16 anos";"3";"0,000"
"Brasil";"PC DO B";"MASCULINO";"17 anos";"33";"0,000"
"Brasil";"PC DO B";"MASCULINO";"18 a 20 anos";"893";"0,005"
"Brasil";"PC DO B";"MASCULINO";"21 a 24 anos";"4.522";"0,027"
"Brasil";"PC DO B";"MASCULINO";"25 a 34 anos";"35.998";"0,214"
"Brasil";"PC DO B";"MASCULINO";"35 a 44 anos";"53.886";"0,321"
"Brasil";"PC DO B";"MASCULINO";"45 a 59 anos";"77.186";"0,459"
"Brasil";"PC DO B";"MASCULINO";"60 a 69 anos";"29.039";"0,173"
"Brasil";"PC DO B";"MASCULINO";"70 a 79 anos";"11.585";"0,069"
"Brasil";"PC DO B";"MASCULINO";"Inválida";"7";"0,000"
"Brasil";"PC DO B";"MASCULINO";"Superior a 79 anos";"5.320";"0,032"
"Brasil";"PC DO B";"NÃO INFORMADO";"35 a 44 anos";"3";"0,000"
"Brasil";"PC DO B";"NÃO INFORMADO";"45 a 59 anos";"90";"0,001"
"Brasil";"PC DO B";"NÃO INFORMADO";"60 a 69 anos";"76";"0,000"
"Brasil";"PC DO B";"NÃO INFORMADO";"70 a 79 anos";"61";"0,000"
"Brasil";"PC DO B";"NÃO INFORMADO";"Superior a 79 anos";"44";"0,000"
"Brasil";"PC DO B";"Não informado (nulo)";"Não informada";"886";"0,005"
"Brasil";"PCB";"FEMININO";"18 a 20 anos";"4";"0,000"
"Brasil";"PCB";"FEMININO";"21 a 24 anos";"26";"0,000"
"Brasil";"PCB";"FEMININO";"25 a 34 anos";"635";"0,004"
"Brasil";"PCB";"FEMININO";"35 a 44 anos";"1.339";"0,008"
"Brasil";"PCB";"FEMININO";"45 a 59 anos";"2.554";"0,015"
"Brasil";"PCB";"FEMININO";"60 a 69 anos";"1.071";"0,006"
"Brasil";"PCB";"FEMININO";"70 a 79 anos";"561";"0,003"
"Brasil";"PCB";"FEMININO";"Superior a 79 anos";"390";"0,002"
"Brasil";"PCB";"MASCULINO";"18 a 20 anos";"4";"0,000"
"Brasil";"PCB";"MASCULINO";"21 a 24 anos";"42";"0,000"
"Brasil";"PCB";"MASCULINO";"25 a 34 anos";"820";"0,005"
"Brasil";"PCB";"MASCULINO";"35 a 44 anos";"1.940";"0,012"
"Brasil";"PCB";"MASCULINO";"45 a 59 anos";"3.007";"0,018"
"Brasil";"PCB";"MASCULINO";"60 a 69 anos";"1.189";"0,007"
"Brasil";"PCB";"MASCULINO";"70 a 79 anos";"605";"0,004"
"Brasil";"PCB";"MASCULINO";"Inválida";"1";"0,000"
"Brasil";"PCB";"MASCULINO";"Superior a 79 anos";"408";"0,002"
"Brasil";"PCB";"NÃO INFORMADO";"45 a 59 anos";"4";"0,000"
"Brasil";"PCB";"NÃO INFORMADO";"60 a 69 anos";"2";"0,000"
"Brasil";"PCB";"NÃO INFORMADO";"70 a 79 anos";"4";"0,000"
"Brasil";"PCB";"Não informado (nulo)";"Não informada";"112";"0,001"
