"UF";"Partido";"Número do candidato";"Nome do candidato";"Nome do candidato (urna)";"Cargo";"Situação da candidatura";"Detalhe situação candidatura";"Data eleição";
"AC";"PODE";"19019";"ANTONIO JOSENILDO INACIO DA SILVA";"JOSA DA FARMACIA";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"SOLIDARIEDADE";"77456";"ANTÔNIO LEILDO OLIVEIRA DA SILVA";"TAMPINHA BITTAR";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"MDB";"15131";"ANTONIO NIZOMAR DOS SANTOS";"NIZOMAR";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PROS";"9010";"ANTONIO PAULINO DA SILVA";"PAULINO SILVA";"Deputado Federal";"Apto";"Deferido";"7.10.2018"
"AC";"DEM";"25456";"ANTONIO PEDRO MENDONÇA";"ANTONIO PEDRO";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PT";"13333";"ANTONIO RAIMUNDO MELONIA DE ANDRADE";"REAL";"Deputado Estadual";"Apto";"Deferido";"7.10.2018"
"AC";"PRP";"44333";"APARECIDO OLIVEIRA SILVA";"BUIU";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PSC";"20777";"ARLAND GURGEL DE MELO SILVA";"ARLAND GURGEL";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PDT";"12333";"ARLENILSON BARBOSA CUNHA";"ARLENILSON CUNHA";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PPL";"54564";"ARLEUDO DIAS VIRGINIO";"ARLEUDO";"Deputado Estadual";"Apto";"Deferido";"7.10.2018"
"AC";"PTB";"14101";"ARLEYSSA SOUZA DA SILVA";"ARLEYSSA SOUZA";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PP";"11555";"ARNALDO SILVA SOUSA";"ARNALDO SILVA";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PSDB";"45444";"AROLDO MONTEIRO RODRIGUES";"AROLDO MONTEIRO";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PRTB";"28555";"ARTEMILSON OLIVEIRA VIANA";"ARTEMILSON DO POVO";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PSDB";"45500";"AUDER LIMA GUIMARÃES";"AUDER QUASE TUDO";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PDT";"12222";"AURÉLIO ALVES DE LIMA";"AURÉLIO DA FARMÁCIA";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PSL";"1788";"BERENICE NASCIMENTO DE SOUZA";"BERENICE";"Deputado Federal";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"DEM";"25025";"BLANDINA MARIA MENEZES DA SILVA E SILVA";"BLANDINA MENEZES";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PSL";"17077";"BRUNA MENEZES BRITO DO NASCIMENTO";"BRUNA BRITO";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PSDB";"45190";"CADMIEL JOSÉ ARAÚJO BOMFIM";"SGT CADMIEL BOMFIM";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PSB";"40123";"CARLA ÍVANE DE BRITTO";"CARLA BRITTO";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PSDB";"45777";"CARLOS ALBERTO ALVES DE SOUZA";"PROF. CARLOS ALBERTO";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PRTB";"28120";"CARLOS ALBERTO PEREIRA RODRIGUES";"CARLOS ALBERTO";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PSB";"40800";"CARLOS ALBERTO SILVA ARAÚJO";"BETO";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PSB";"40333";"CARLOS CELSO SOUTO";"PROF. CELSO";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
